,SMILES,clogp,qed,sas
35,OC[C@@H](O1)[C@@H](O4)[C@@H](OP(O)(=O)4)[C@@H]1n(c3)c(N=2)c(n3)C(=O)NC(N)2,-1.5241,0.467445631,4.478469389
36,Cc(n2)nc(N)c(c2)C[n+1](c1)c(C)c(CCOP(O)(O)=O)s1,0.72474,0.520727898,3.380928742
37,Nc(n3)c(n2)c(nc3)n(c2)[C@H](O1)[C@H](N)[C@H](O)[C@@H](COP(O)(O)=O)1,-1.8966,0.3883437,4.007612526
38,OC[C@@H](O1)[C@@H](O)[C@@H](OP(O)(O)=O)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2,-1.863,0.390178545,3.872016922
39,OC[C@@H](O1)[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2,-1.863,0.390178545,3.874816922
40,NC(N3)=Nc(c2C(=O)3)n(cn2)[C@@H](C1)O[C@H](COP(O)(O)=O)[C@@H](O)1,-1.5405,0.405643401,3.894447014
41,Nc(n3)c(c(nc3)2)n(cn2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1,-1.863,0.390178545,4.042159779
42,Nc(n3)c(n2)c(nc3)n(c2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1,-1.863,0.390178545,3.804889449
43,O=C(N3)c(n2)c(N=C3)n(c2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1,-2.1519,0.38211344,3.987559779
44,Oc(c3)cc(O1)c(c3)CCC([H])1c(c2)cccc2,3.4585,0.806496971,2.45718473
45,Oc(c3)c(C(=O)2)c(cc3)OC(=C2)c(c1)cccc1,3.1656,0.707998048,1.931391166
46,OC(=O)c(c1)c(ccc1)NCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O,-0.8031,0.309583858,3.333173742
47,COc(c2)ccc(c2)C(=O)C=Cc(c1)cccc1,3.5913,0.600695037,1.528066018
48,Oc(c3)cc(O1)c(c3)C(=O)CC1c(c2)cccc2,3.0987,0.832682658,2.498770864
49,Oc(c3)c(ccc3)C(=C1)Oc(c2)c(ccc2)C(=O)1,3.1656,0.707998048,1.922902408
50,Oc(c2)ccc(c2)C=CC(=O)c(c1)ccc(O)c1,2.9939,0.64014006,1.81385977
51,Oc(c2)cc(cc2)C=CC(=O)c(c1)cc(O)cc1,2.9939,0.64014006,1.966430811
52,Oc(c2)c(ccc2)C=CC(=O)c(c1)c(O)ccc1,2.9939,0.64014006,1.942311354
53,Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cccc1,2.9939,0.64014006,1.895782847
54,Oc(c2)c(ccc2)C(=O)C=C(O)c(c1)cccc1,3.174,0.49187556,1.914564747
55,Oc(c3)cc(O)c(c3)c(c1)oc(c2)c(ccc(O)2)1,3.2166,0.612151416,2.259442575
56,Cc(c1)c(C)cc(n2)c1nc(C(=O)3)c(NC(=O)N3)2,0.77644,0.569605267,2.497908041
57,Oc(c2)cc(O)c(c2)C(=O)CCc(c1)cccc1,2.9133,0.81033271,1.752708639
58,Oc(c3)ccc(c3)C(C2)Cc(c1)c(O2)cc(O)c1,2.8165,0.808045639,2.650684473
59,Oc(c3)ccc(c3)C(C1)Oc(c2)c(ccc(O)2)C1,3.1641,0.80714823,2.62061968
60,Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C1,3.1641,0.80714823,2.62061968
61,COc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)cccc2,3.4686,0.700686311,1.761758034
62,COc(c3)cc(C(=O)2)c(c3)OC(=C2)c(c1)cccc1,3.4686,0.700686311,1.765390762
63,Oc(c3)cc(O2)c(c3)C(=O)C(=C(C)2)c(c1)cccc1,3.47402,0.721001232,1.942266892
64,Oc(c3)cc(O2)c(c(O)3)C(=CC(=O)2)c(c1)cccc1,2.8712,0.65490789,2.098456636
65,Oc(c3)ccc(c3)C=c(o1)c(=O)c(c2)c(cc(O)c2)1,2.714,0.767717477,2.196630995
66,O=C(O1)C=C(c(c3)cccc3)c(c2)c1cc(O)c(O)2,2.8712,0.517133156,2.009923302
67,Oc(c3)cc(O1)c(c3)C(=O)C(O)=C1c(c2)cccc2,2.8712,0.700091546,2.019387405
68,Oc(c4)cc(O3)c(c4)c(o1)c(C3)c(c2)c(cc(O)c2)1,3.4034,0.644992299,2.494340412
69,Oc(c3)ccc(c3)C(=C1)Oc(c2)c(ccc(O)2)C(=O)1,2.8712,0.700091546,2.040648944
70,Oc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)cccc2,2.8712,0.700091546,2.09600279
71,Oc(c3)c(ccc3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1,2.8712,0.700091546,2.188741251
72,Oc(c3)cc(c(O)c3)C(=C1)Oc(c2)c(ccc2)C(=O)1,2.8712,0.65490789,2.119910482
73,Oc(c3)c(O1)c(c(O)c3)C(=O)C=C1c(c2)cccc2,2.8712,0.65490789,2.168051508
74,Oc(c3)ccc(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1,2.8712,0.700091546,2.071328431
75,Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)c(O)cc1,2.8712,0.700091546,2.168895097
76,Oc(c3)c(ccc3)C(=C1)Oc(c(O)2)c(ccc2)C(=O)1,2.8712,0.700091546,2.214641251
77,Oc(c3)cc(O2)c(c(O)3)C(=O)C(=C2)c(c1)cccc1,2.8712,0.700091546,2.141564328
78,COc(c3)cc(O1)c(c3)C(=O)CC1c(c2)cccc2,3.4017,0.823541581,2.381568518
79,COc(c1)c(O)cc(c(C)2)c1oc(c(c3)cccc3)2,4.12242,0.747520597,1.981018174
80,COc(c3)c(O)cc(c23)C(=CCO2)c(c1)cccc1,3.2249,0.893848999,2.300635237
81,COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)cccc1,2.5647,0.612354734,3.18150557
82,COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)cccc1,2.5647,0.612354734,3.18150557
83,COc(c2)c(ccc(O)2)C(=O)C=Cc(c1)cccc1,3.2969,0.67231567,1.8529592
84,Oc(c3)ccc(c3)c(c2)[o+1]c(c1)c(c2)c(O)cc(O)1,3.4977,0.581810188,2.751892533
85,Oc(c3)cc(O1)c(c(O)3)C(=O)CC([H])1c(c2)cccc2,2.8043,0.822909689,2.676941758
86,Clc(c3)ccc(c3)C=c(o1)c(=O)c(c2)c(ccc2)1,3.9562,0.722242222,1.90834797
87,COc(c3)c(ccc(O)3)c(c1)oc(c2)c(ccc(O)2)1,3.5196,0.735972122,2.135651508
88,Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C(=O)1,2.8043,0.822909689,2.657003296
89,Oc(c3)ccc(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1,2.4567,0.822071769,2.718739194
90,COc(c3)cc(O)c(c3)c(c1)oc(c2)c(ccc(O)2)1,3.5196,0.735972122,2.147118174
91,Oc(c3)cc(O1)c(c3)C(=O)C(O)C1c(c2)cccc2,2.0695,0.819292132,2.907968117
92,Oc(c3)cc(O)c(c3)C(C2)=Cc(c1)c(O2)cc(O)c1,2.7364,0.733368431,2.625725867
93,Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)ccc(O)1,2.6995,0.44798905,2.076083777
94,Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)cc(O)c1,2.6995,0.582502973,2.055588856
95,Oc(c2)c(O)cc(c2)C=CC(=O)c(c1)c(O)ccc1,2.6995,0.44798905,2.041277681
96,COC(=C1)C(=O)C(=C(O)C=Cc(c2)cccc2)C(=O)1,2.194,0.511271391,2.498404531
97,Oc(c4)cc(O3)c(c4)C(O1)C(C3)c(c2)c(cc(O)c2)1,2.7075,0.76050337,3.279177394
98,Oc(c1)cc(O)c(C(=O)C=Cc(c2)cccc2)c(O)1,2.6995,0.582502973,2.183882616
99,COc(c2)cc(O)c(c2)C(=O)CCc(c1)cccc1,3.2163,0.835419617,1.668536123
100,COc(c2)c(ccc(O)2)CCC(=O)c(c1)cccc1,3.2163,0.835419617,1.742233559
