SMILES,logp,qed
OC[C@@H](O1)[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H]1n(c3)c(n2)c(n3)c(N)nc2,-1.863,0.390178545
NC(N3)=Nc(c2C(=O)3)n(cn2)[C@@H](C1)O[C@H](COP(O)(O)=O)[C@@H](O)1,-1.5405,0.405643401
Nc(n3)c(c(nc3)2)n(cn2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1,-1.863,0.390178545
Nc(n3)c(n2)c(nc3)n(c2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1,-1.863,0.390178545
O=C(N3)c(n2)c(N=C3)n(c2)[C@H](O1)[C@H](O)[C@H](O)[C@@H](COP(O)(O)=O)1,-2.1519,0.38211344
Oc(c3)cc(O1)c(c3)CCC([H])1c(c2)cccc2,3.4585,0.806496971
Oc(c3)c(C(=O)2)c(cc3)OC(=C2)c(c1)cccc1,3.1656,0.707998048
OC(=O)c(c1)c(ccc1)NCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O,-0.8031,0.309583858
COc(c2)ccc(c2)C(=O)C=Cc(c1)cccc1,3.5913,0.600695037
Oc(c3)cc(O1)c(c3)C(=O)CC1c(c2)cccc2,3.0987,0.832682658
Oc(c3)c(ccc3)C(=C1)Oc(c2)c(ccc2)C(=O)1,3.1656,0.707998048
Oc(c2)ccc(c2)C=CC(=O)c(c1)ccc(O)c1,2.9939,0.64014006
Oc(c2)cc(cc2)C=CC(=O)c(c1)cc(O)cc1,2.9939,0.64014006
Oc(c2)c(ccc2)C=CC(=O)c(c1)c(O)ccc1,2.9939,0.64014006
Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cccc1,2.9939,0.64014006
Oc(c2)c(ccc2)C(=O)C=C(O)c(c1)cccc1,3.174,0.49187556
Oc(c3)cc(O)c(c3)c(c1)oc(c2)c(ccc(O)2)1,3.2166,0.612151416
Cc(c1)c(C)cc(n2)c1nc(C(=O)3)c(NC(=O)N3)2,0.77644,0.569605267
Oc(c2)cc(O)c(c2)C(=O)CCc(c1)cccc1,2.9133,0.81033271
Oc(c3)ccc(c3)C(C2)Cc(c1)c(O2)cc(O)c1,2.8165,0.808045639
Oc(c3)ccc(c3)C(C1)Oc(c2)c(ccc(O)2)C1,3.1641,0.80714823
Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C1,3.1641,0.80714823
COc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)cccc2,3.4686,0.700686311
COc(c3)cc(C(=O)2)c(c3)OC(=C2)c(c1)cccc1,3.4686,0.700686311
Oc(c3)cc(O2)c(c3)C(=O)C(=C(C)2)c(c1)cccc1,3.47402,0.721001232
Oc(c3)cc(O2)c(c(O)3)C(=CC(=O)2)c(c1)cccc1,2.8712,0.65490789
Oc(c3)ccc(c3)C=c(o1)c(=O)c(c2)c(cc(O)c2)1,2.714,0.767717477
O=C(O1)C=C(c(c3)cccc3)c(c2)c1cc(O)c(O)2,2.8712,0.517133156
Oc(c3)cc(O1)c(c3)C(=O)C(O)=C1c(c2)cccc2,2.8712,0.700091546
Oc(c4)cc(O3)c(c4)c(o1)c(C3)c(c2)c(cc(O)c2)1,3.4034,0.644992299
Oc(c3)ccc(c3)C(=C1)Oc(c2)c(ccc(O)2)C(=O)1,2.8712,0.700091546
Oc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)cccc2,2.8712,0.700091546
Oc(c3)c(ccc3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1,2.8712,0.700091546
Oc(c3)cc(c(O)c3)C(=C1)Oc(c2)c(ccc2)C(=O)1,2.8712,0.65490789
Oc(c3)c(O1)c(c(O)c3)C(=O)C=C1c(c2)cccc2,2.8712,0.65490789
Oc(c3)ccc(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1,2.8712,0.700091546
Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)c(O)cc1,2.8712,0.700091546
Oc(c3)c(ccc3)C(=C1)Oc(c(O)2)c(ccc2)C(=O)1,2.8712,0.700091546
Oc(c3)cc(O2)c(c(O)3)C(=O)C(=C2)c(c1)cccc1,2.8712,0.700091546
COc(c3)cc(O1)c(c3)C(=O)CC1c(c2)cccc2,3.4017,0.823541581
COc(c1)c(O)cc(c(C)2)c1oc(c(c3)cccc3)2,4.12242,0.747520597
COc(c3)c(O)cc(c23)C(=CCO2)c(c1)cccc1,3.2249,0.893848999
COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)cccc1,2.5647,0.612354734
COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)cccc1,2.5647,0.612354734
COc(c2)c(ccc(O)2)C(=O)C=Cc(c1)cccc1,3.2969,0.67231567
Oc(c3)ccc(c3)c(c2)[o+1]c(c1)c(c2)c(O)cc(O)1,3.4977,0.581810188
Oc(c3)cc(O1)c(c(O)3)C(=O)CC([H])1c(c2)cccc2,2.8043,0.822909689
Clc(c3)ccc(c3)C=c(o1)c(=O)c(c2)c(ccc2)1,3.9562,0.722242222
COc(c3)c(ccc(O)3)c(c1)oc(c2)c(ccc(O)2)1,3.5196,0.735972122
Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C(=O)1,2.8043,0.822909689
Oc(c3)ccc(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1,2.4567,0.822071769
COc(c3)cc(O)c(c3)c(c1)oc(c2)c(ccc(O)2)1,3.5196,0.735972122
Oc(c3)cc(O1)c(c3)C(=O)C(O)C1c(c2)cccc2,2.0695,0.819292132
Oc(c3)cc(O)c(c3)C(C2)=Cc(c1)c(O2)cc(O)c1,2.7364,0.733368431
Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)ccc(O)1,2.6995,0.44798905
Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)cc(O)c1,2.6995,0.582502973
Oc(c2)c(O)cc(c2)C=CC(=O)c(c1)c(O)ccc1,2.6995,0.44798905
COC(=C1)C(=O)C(=C(O)C=Cc(c2)cccc2)C(=O)1,2.194,0.511271391
Oc(c4)cc(O3)c(c4)C(O1)C(C3)c(c2)c(cc(O)c2)1,2.7075,0.76050337
Oc(c1)cc(O)c(C(=O)C=Cc(c2)cccc2)c(O)1,2.6995,0.582502973
COc(c2)cc(O)c(c2)C(=O)CCc(c1)cccc1,3.2163,0.835419617
COc(c2)c(ccc(O)2)CCC(=O)c(c1)cccc1,3.2163,0.835419617
COc(c2)c(O)cc(c(O)2)C(C=C)c(c1)cccc1,3.4243,0.650595456
COc(c2)c(ccc(O)2)C(=O)CCc(c1)cccc1,3.2163,0.835419617
COc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C1,3.4671,0.893795324
COc(c3)c(C2)c(cc(O)3)OC(C2)c(c1)cccc1,3.4671,0.893795324
Oc(c3)ccc(c3)C([H])(C1)Oc(c(C)2)c(ccc(O)2)C1,3.47252,0.82096041
COc(c3)cc(O1)c(c3)CC[C@H]1c(c2)ccc(O)c2,3.4671,0.893795324
Oc(c2)ccc(c2)C(=O)CCc(c1)c(O)cc(O)c1,2.6189,0.736547022
Oc(c2)ccc(c2)CCC(=O)c(c1)c(O)cc(O)c1,2.6189,0.736547022
