,SMILES
6214,Oc(c31)cc(cc1OC(c(c4)cc(c(c(O)4)O)O)=C(C3=O)OC(C2O)OC(C)C(C2O)OC(=O)CC(O)=O)O
6219,O=C(CC(O)=O)OCC(O1)C(O)C(O)C(O)C1OC(C2=O)=C(c(c4)cc(c(c4)O)O)Oc(c3)c2c(O)cc3O
6224,O=C(CC(O)=O)OCC(O1)C(O)C(O)C(O)C1OC(C2=O)=C(c(c4)cc(c(c4)O)O)Oc(c3)c2c(O)cc3O
6229,c(c2)c(ccc(C(O4)=C(OC(O5)C(O)C(O)C(O)C5)C(=O)c(c43)c(O)cc(O)c3)2)OC(C1O)OCC(O)C1O
6234,O[C@@H]([C@H]4COC(C)=O)C(O)C(O)[C@@H](O4)OC(C1=O)=C(c(c3)cc(c(c(OC)3)O)OC)Oc(c2)c1c(O)cc2O
6239,O(c31)C(c(c4)cc(c(c4)O)OC)=C(O)C(=O)c1c(cc(c3OC)O[C@@H]([C@H]2O)OC([C@@H]([C@@H]2O)O)COC(C)=O)O
6244,O(C(O4)C(OC(O5)C(O)C(O)C(O)C5)C(O)C(O)C4)c(c(O)3)cc(c(c(O)3)1)OC(c(c2)ccc(c2)O)=CC(=O)1
6249,OC(C(O)4)C(C(OC(COC(=O)C(C)C)4)Oc(c(O)3)cc(O1)c(c(O)3)C(C(=C1c(c2)cc(c(O)c2)O)O)=O)O
6254,C(O1)C(C(C(C1c(c4O)c(c(c(c4C(C(O)5)OCC(C5O)O)O)3)OC(=CC3=O)c(c2)cc(c(c2)O)O)O)O)O
6259,O=C(CC(O)=O)OCC(C(O)1)OC(Oc(c(O)4)cc(O2)c(c4O)C(=O)C=C2c(c3)cc(c(c3)O)O)C(C(O)1)O
6264,OCC([C@H](O)1)O[C@@H](Oc(c3)ccc(C4=O)c(OC=C4c(c5)ccc(c5)OC)3)[C@@H](OC(c(c2)ccc(c2)O)=O)[C@H]1O
6269,c(c(O)5)cc(C4=O)c(c5)OC(C4)c(c1)ccc(OC(C(OC(O3)C(O)C(O)(C3)CO)2)OC(C(O)C2O)CO)c1
6274,OC(C5CO)C(O)C(C(O5)Oc(c1)ccc(C(C4)Oc(c2)c(C4=O)ccc2OC(C(O)3)OCC(O)3CO)c1)O
6279,c(OC(O3)C(O)C(O)C(OC(C(O)4)OC(C(O)C4O)C)C3)(c2)c(c(O)cc2O)C(C=Cc(c1)ccc(O)c1)=O
6284,c(C(C3(O)4)(C(C=Cc(c5)c(cc(c(OC)5)OC)OC)CO4)Oc(c2C(=O)3)cc(cc2O)OC)(c1)ccc(c1)OC
6289,c(c4)(ccc(c4)C=CC(c(c3)c(cc(O)c3)O)=O)OC(C(OC(O2)C(O)C(O)(C2)CO)1)OC(C(O)C(O)1)CO
6294,O=C(CC(O)=O)OCC(C(O)1)OC(Oc(c(c(c4)cc(c(c4)O)O)3)cc(c2[o+1]3)c(c(O)c(c2)O)O)C(C(O)1)O
6299,c(c(OC)1)c(OC)c(cc1C=CC(O5)CC(C(O)35)(c(c4)ccc(OC)c4)Oc(c2)c(C3=O)c(cc2OC)O)OC
6304,Oc(c(O)4)cc(cc(O)4)C(=O)OC(C1c(c3)cc(OS(O)(=O)=O)c(O)c3O)C(=O)c(c2O)c(cc(c2)O)O1
6309,O=C(CC(O)=O)OCC(C(O)1)OC(Oc(c(c(c4)cc(c(c(O)4)O)O)2)cc(c3O)c(cc(c3)O)[o+1]2)C(C(O)1)O
6314,c(c1)ccc(C(OCC(O2)C(C(C(C2Oc(c5)cc(O3)c(c5O)C(C=C(c(c4)ccc(O)c4O)3)=O)O)O)O)=O)c1
6319,OCC(O1)C(O)C(C(OC(c(c5)ccc(c5)O)=O)C1c(c(O)4)c(O2)c(c(c4)O)C(=O)C=C2c(c3)ccc(c3)O)O
6324,c(c12)(O)c(OC)c(cc1OC(c(c(O)3)cc(O[C@@H](C4O)O[C@@H]([C@H](O)C4O)CO)c(c3)OC)=C(C2=O)OC)OC
6329,C(C(O)1)(OC(c(c4O)c(O)c(C(C)c(c5)ccc(c5)O)c(c24)OC(c(c3)ccc(c3)O)=CC2=O)C(C1O)O)CO
6334,c(c4C(C)c(c5)ccc(O)c5)(O)c(c(O2)c(c4O)C(C=C(c(c3)ccc(c3)O)2)=O)C(C(O)1)OC(CO)C(O)C1O
6339,c(O)(c1)ccc(C(O3)C(OC(CCCCCCC(CCCCCC(C)CC)C)C)C(=O)c(c32)c(cc(c2)O)O)c1
6344,COc(c3)cc(OS(O)(=O)=O)c(c32)C(=O)C(OS(O)(=O)=O)=C(O2)c(c1)cc(O)c(c1)OS(O)(=O)=O
6349,COc(c1)c(ccc1C(O2)=C(OS(O)(=O)=O)C(=O)c(c(O)3)c(cc(c3)OS(O)(=O)=O)2)OS(O)(=O)=O
6354,COc(c3)cc(O1)c(c(O)3)C(=O)C(OS(O)(=O)=O)=C1c(c2)cc(OS(O)(=O)=O)c(c2)OS(O)(=O)=O
6359,Oc(c24)cc(c(c2OC(=CC4=O)c(c3)ccc(c3)OC)OC(O1)C(OS(O)(=O)=O)C(C(C(C(O)=O)1)O)O)O
6364,c(c1)(c(c(cc1C(=C(OC)4)Oc(c3C4=O)cc(c(c3O)OC)O[C@@H]([C@H]2O)OC(CO)[C@H](O)[C@@H]2O)OC)O)OC
6369,C(C(C(O)=O)1)(O)C(C(C(OC(C4=O)=C(Oc(c34)cc(cc3O)OS(O)(=O)=O)c(c2)cc(c(O)c2)O)O1)O)O
6374,Oc(c24)cc(c(c2OC(=CC4=O)c(c3)cc(OS([O-1])(=O)=O)c(OC)c3)OC(O1)C(O)C(C(C(CO)1)O)O)O
6379,C(C(C(O)=O)1)(O)C(C(C(OC(=C3c(c4)cc(c(c4)O)OS(O)(=O)=O)C(=O)c(c(O3)2)c(cc(O)c2)O)O1)O)O
6384,C(C5O)(O)C(OC(C5O)Oc(c4)c(C1)c(cc4O)OC(c(c3)cc(c(c3)O)O)C1OC(c(c2)cccc2)=O)CO
6389,O=C(c23)C(OC)=C(Oc2cc(cc(OC(C(O)4)OC(CO)C(C4O)O)3)O)c(c1)cc(OS(O)(=O)=O)c(O)c1
6394,Oc(c1)c(ccc1C(O3)=C(C(=O)c(c4O)c(cc(c4)OS(O)(=O)=O)3)OC(O2)C(O)C(C(C(CO)2)O)O)OC
6399,c(O)(c4)c(c(c(c4O)3)OC(=C(OS(O)(=O)=O)C3=O)c(c2)cc(c(O)c2)O)OC(C(O)1)OC(CO)C(O)C1O
6404,c(C(O2)=C(C(c(c(O)3)c2cc(c3CC=C(C)CCC(C5(C)4)C(=C)CCC4C(CCC5)(C)C)O)=O)O)(c1)ccc(c1)O
6409,c(c5)(ccc(c5)C(=C4)Oc(c(C4=O)3)cc(O)c(c3O)C(C(OC(C(O)2)OC(C)C(C2O)O)1)OC(C)C(=O)C1O)O
6414,CC(=O)OC(C(OC(C)=O)4)C(OC(C)=O)C(OC4)Oc(c(O)3)c(O1)c(c(c3)O)C(C(=C1c(c2)ccc(O)c2)O)=O
6419,c(c5)(ccc(c5)C(=C4)Oc(c(C4=O)3)cc(O)c(c3O)C(C(OC(C(O)2)OC(C)C(C2O)O)1)OC(C)C(O)C1=O)O
6424,c(O)(c(OC)1)c(OC)cc(c(c4O[C@@H](C5O)O[C@H](CO)[C@@H](C(O)5)O)[o+1]c(c3)c(c42)c(cc3O)OC(C(O)=O)=C2)c1
6429,C(C=4)(=O)c(c(OC4c(c5)ccc(O)c5)1)ccc(O)c(C(O2)C(OC(O3)C(O)C(O)C(C3C)O)C(O)C(C2CO)O)1
6434,O=c(c(=Cc(c5)c(ccc5)OC(O3)C(C(C(O)C3COC(C4O)OC(C(C(O)4)O)CO)O)O)2)c(c1o2)cccc1
6439,C(O1)C(C(C(O)C1c(c5O)c(OC)c(c(c54)OC(=CC(=O)4)c(c3)ccc(c3)OC)C(O2)C(O)C(C(O)C2)O)O)O
6444,OC(C5CO)C(O)C(C(O5)Oc(c1)ccc(C(O4)=CC(=O)c(c42)c(c(C(C3)OC(C(C(O)3)O)C)c(O)c2)O)c1)O
6449,O=C(c25)C=C(Oc2c(c(OC)cc5O)C(C3OC(O4)C(O)C(O)C(C4C)O)OCC(O)C(O)3)c(c1)ccc(O)c1
6454,O(C1C)C(OCC(O2)C(O)C(O)C(O)C2Oc(c5)ccc(c54)C(C=C(O4)c(c3)ccc(O)c3)=O)C(C(O)C(O)1)O
6459,C(C1O)(O)C(C)OC(c(c4O)c(c(c(c4C(O5)C(C(C(O)C5C)O)O)3)C(=O)C=C(O3)c(c2)ccc(O)c2)O)C1O
6464,OC(C5CO)C(O)C(C(O5)Oc(c1)ccc(C(O4)=CC(=O)c(c42)c(c(C(C3)OC(C(C(O)3)O)C)c(O)c2)O)c1)O
6469,O(C1C)C(OCC(O2)C(O)C(C(O)C(Oc(c5)cc(c3c(O)5)OC(c(c4)cccc4)=CC3=O)2)O)C(C(O)C(O)1)O
6474,O=C(C=1)c(c4O)c(cc(c(OC)4)O[C@H](O3)[C@H]([C@H]([C@@H](O)C(COC(=O)C(CC)C)3)O)O)OC1c(c2)ccc(O)c2O
6479,OC(C5CO)C(O)C(C(O5)Oc(c1)ccc(C(O4)=CC(=O)c(c42)c(c(C(C3)OC(C(C(O)3)O)C)c(O)c2)O)c1)O
6484,C(C(C(O)5)OC(C(O)C5O)Oc(c4)cc(c(c4)2)OC=C(c(c3)ccc(OC)c3)C2=O)OC(O1)C(O)C(C(O)C1)O
6489,O(C(C(OC(O5)C(O)C(O)(C5)CO)4)OC(CO)C(C4O)O)c(c3)cc(c1c3)OC=C(c(c2)ccc(OC)c2)C1=O
6494,O=C(c13)C(O)=C(c(c4)ccc(c4)OC)Oc1c(CCC(C)(C)OC)c(cc3O)OC(C2O)OC(CO)C(C2O)O
6499,O=C(CC(O)=O)OC[C@@H](O1)[C@H](O)C(O)C(O)[C@@H]1OC(C2=O)=C(c(c4)cc(OC)c(c4)O)Oc(c3)c2c(O)cc3O
6504,C(=C(OC(O4)C(OC(=O)C=Cc(c5)ccc(c5)O)C(C(O)C4)O)3)(Oc(c2C3=O)cc(cc(O)2)O)c(c1)ccc(O)c1
6509,c(O)(c(OC)1)c(O)cc(C(O3)=C(C(c(c(O)4)c(cc(c4)O)3)=O)OC(C2O)OC(C)C(C2O)OC(=O)CC(O)=O)c1
6514,O(C2CO)C(OC(C5=O)=C(Oc(c54)cc(O)cc4O)c(c3)ccc(c3)O)C(C(O)2)OC(=O)C=Cc(c1)ccc(c1)O
6519,O=c(c25)c(oc2c(c(cc5)OC(C(O)4)OCC(C4O)OC(C3O)OCC(C3O)O)OC)=Cc(c1)cc(c(O)c1)O
6524,OC(C(O)5)C(OCC5O)Oc(c4)cc(O)c(c43)C(=O)C(=C(O3)c(c2)ccc(c2)O)OC(C(O)1)OC(C)C(C1O)O
6529,OC(C(O)5)C(OCC5O)Oc(c4)cc(O)c(c43)C(=O)C(=C(O3)c(c2)ccc(c2)O)OC(C(O)1)OC(C)C(C1O)O
6534,C(C(O)1)(C(O)C(OC1OC(C2)C(C(C(OC(=C4c(c5)ccc(c5)O)C(=O)c(c(O4)3)c(O)cc(O)c3)O2)O)O)C)O
6539,c(O4)(c(C(C(=C4c(c5)ccc(c5)O)OC(C2OC(C3O)OC(C)C(C3O)O)OC(C2O)CO)=O)1)cc(O)cc1O
6544,c(O)(c1)cc(c(C(=O)4)c(OC(=C(OC(C(O)5)OC(C)C(C5O)O)4)c(c3)ccc(c3)OC(C(O)2)OCC(O)C(O)2)1)O
6549,c(c4O)(O)ccc(c4)C(=C(O)3)Oc(c1)c(C3=O)c(O)c(OC)c1OC(O2)C(C(O)C(O)C(COC(C(C)C)=O)2)O
6554,C(O2)(C)C(C(O)C(C2OC(=C4c(c5)ccc(c5)O)C(c(c(O)3)c(O4)cc(O)c3)=O)OC(O1)C(C(C(C1)O)O)O)O
6559,c(c25)(O)cc(cc2OC(=C(C5=O)OC(C(O)4)OC(C(O)4)CO)c(c3)ccc(c3)O)OC(C(O)1)OC(C)C(O)C1O
6564,O(C(=C(c(c5)ccc(c5)O)4)C(=O)c(c(O4)3)c(O)cc(c3)OC(C(O)2)OC(C)C(O)C2O)C(C1O)OCC(C1O)O
6569,c(c1)(ccc(C(=C5)Oc(c2)c(C5=O)c(c(c2OC(C(OC(C(O)4)OCC(O)C4O)3)OCC(O)C(O)3)OC)O)c1)O
6574,c(c1)(ccc(C(=C5)Oc(c2C5=O)cc(OC(C(O)4)OCC(O)C4O)c(C(C(O)3)OC(C(O)C(O)3)CO)c2O)c1)O
6579,C(OCC(O2)C(C(O)C(C2c(c35)c(cc(c3C(=O)C=C(O5)c(c4)ccc(O)c4)O)O)O)O)(O1)C(O)C(C(O)C1)O
6584,c(c1)(ccc(C(=C2)Oc(c3)c(c(O)c(C(O5)C(O)C(C(O)C5)O)c(OC(C4O)OC(C(O)C4O)CO)3)C2=O)c1)O
6589,C(C(C1O)OC(c(c(O)3)c(c(c(O4)c3C(C=C4c(c5)ccc(O)c5)=O)C(O2)C(O)C(CO)(C2)O)O)C(C1O)O)O
6594,c(c4)(ccc(OC(O5)C(O)C(O)C(O)C5CO)c4)C(O1)=CC(c(c(O)2)c1cc(c(C(C(O)3)OCC(O)C(O)3)2)O)=O
6599,OC(C(O)1)C(O)COC(OC(C2O)C(c(c34)c(O)cc(c(C(C=C(c(c5)ccc(O)c5)O4)=O)3)O)OC(C(O)2)CO)1
6604,c(c5)(ccc(c5)C(=C1)Oc(c2)c(c(O)c(C(C3OC(C(O)4)OC(C(C(O)4)O)CO)OCC(C3O)O)c2O)C1=O)O
6609,C(C(C1O)OC(c(c4O)c(c(c3c4C(O5)C(O)C(O)C(O)C5)C(=O)C=C(O3)c(c2)ccc(O)c2)O)C(C1O)O)O
6614,C(C(C1O)OC(c(c4O)c(c(c3c4C(O5)C(O)C(O)C(O)C5)C(=O)C=C(O3)c(c2)ccc(O)c2)O)C(C1O)O)O
6619,O(C1OC(C(Oc(c5)cc(c4c(O)5)OC(=CC4=O)c(c3)ccc(c3)O)2)C(C(O)C(CO)O2)O)CC(C(O)C1O)O
6624,O(C1Oc(c2)cc(O)c(C(=O)5)c2OC(=C5)c(c4)ccc(c4OC)OC(O3)C(O)C(O)C(O)C3)CC(C(O)C1O)O
6629,O=C(c23)C=C(Oc2c(c(O)c(OC)c3O[C@H](O4)[C@H]([C@@H](O)[C@@H](O)C4COC(C)=O)O)OC)c(c1)ccc(c1O)OC
6634,C(C=4)(=O)c(c3OC4c(c5)ccc(c5)O)c(O)cc(c3)OC(C(O)1)OC(COC(C2O)OCC2(CO)O)C(O)C1O
6639,c(c1)(ccc(C(=C2)Oc(c3)c(c(O)c(C(O5)C(O)C(C(O)C5)O)c(OC(C4O)OC(C(O)C4O)CO)3)C2=O)c1)O
6644,OC(C1O)C(O)COC1OC(C(O)5)C(OC(CO)C(O)5)c(c4O)c(O)cc(c34)OC(=CC3=O)c(c2)ccc(c2)O
6649,OC(C1O)C(O)COC1OC(C(O)5)C(OC(CO)C(O)5)c(c4O)c(O)cc(c34)OC(=CC3=O)c(c2)ccc(c2)O
6654,C(C5O)OC(C(C5O)O)c(c3O)c(c(c(c3C(O4)C(C(C(O)C4CO)O)O)2)C(=O)C=C(O2)c(c1)ccc(O)c1)O
6659,OC(C(O)1)C(O)COC(OC(C2O)C(c(c34)c(O)cc(c(C(C=C(c(c5)ccc(O)c5)O4)=O)3)O)OC(C(O)2)CO)1
6664,C(C(C1O)OC(c(c4O)c(c(c3c4C(O5)C(O)C(O)C(O)C5)C(=O)C=C(O3)c(c2)ccc(O)c2)O)C(C1O)O)O
6669,C(O)C(C(O)1)OC(OC(C(O)5)C(OC(C5O)CO)c(c23)c(cc(c(C(C=C(c(c4)ccc(O)c4)O3)=O)2)O)O)C(O)1
6674,c(c1)(ccc(C(O2)=CC(c(c(O)3)c2cc(OC(C5O)OC(C)C(C5O)O)c3OC(C4O)OCC(C4O)O)=O)c1)O
6679,C(C=4)(=O)c(c3OC4c(c5)ccc(c5)O)c(O)cc(c3)OC(C1O)OC(COC(O2)C(O)C(C(O)C2)O)C(O)C1O
6684,OC(C(O)5)C(OC(C)C5O)OC(C(O)4)C(OCC(O)4)c(c(O)1)c(cc(O2)c(C(C=C2c(c3)ccc(c3O)O)=O)1)O
6689,C(C(C1O)OC(c(c4O)c(c(c3c4C(O5)C(O)C(O)C(O)C5)C(=O)C=C(O3)c(c2)ccc(O)c2)O)C(C1O)O)O
6694,c(c13)c(OC(O4)C(OC(O5)C(O)C(O)(C5)CO)C(O)C(C(CO)4)O)cc(c(C(C=C(O3)c(c2)ccc(c2)O)=O)1)O
6699,C(C5O)OC(C(C5O)O)c(c3O)c(c(c(c3C(O4)C(C(C(O)C4CO)O)O)2)C(=O)C=C(O2)c(c1)ccc(O)c1)O
6704,C(C(C1O)OC(c(c4O)c(c(c3c4C(O5)C(O)C(O)C(O)C5)C(=O)C=C(O3)c(c2)ccc(O)c2)O)C(C1O)O)O
6709,C(C5O)OC(C(C5O)O)c(c3O)c(c(c(c3C(O4)C(C(C(O)C4CO)O)O)2)C(=O)C=C(O2)c(c1)ccc(O)c1)O
6714,C(C=4)(=O)c(c3OC4c(c5)ccc(c5)O)c(O)cc(c3)OC(C(O)1)OC(COC(C(O)2)OC(CO)C2O)C(O)C1O
6719,C(C5O)OC(C(C5O)O)c(c3O)c(c(c(c3C(O4)C(C(C(O)C4CO)O)O)2)C(=O)C=C(O2)c(c1)ccc(O)c1)O
6724,c(c4)c(ccc(OC(C(O)5)OCC(O)C5O)4)C(O3)=CC(=O)c(c13)c(O)cc(c(C(C(O)2)OC(C(O)C(O)2)CO)1)O
6729,C(C=4)(=O)c(c3OC4c(c5)ccc(c5)O)c(O)cc(c3)OC(C1O)OC(COC(O2)C(O)C(C(O)C2)O)C(O)C1O
6734,C(C5O)OC(C(C5O)O)c(c3O)c(c(c(c3C(O4)C(C(C(O)C4CO)O)O)2)C(=O)C=C(O2)c(c1)ccc(O)c1)O
6739,c(c1)(ccc(C(=C5)Oc(c4C5=O)cc(c(c4O)O)OC(O3)C(C(C(C3C)OC(C2O)OCC(C2O)O)O)O)c1)O
6744,C(C5O)OC(C(C5O)O)c(c3O)c(c(c(c3C(O4)C(C(C(O)C4CO)O)O)2)C(=O)C=C(O2)c(c1)ccc(O)c1)O
6749,c(c51)(C(=O)C(=CO5)c(c4)ccc(c4)O)c(cc(O)c1C(C(O)2)OC(COC(C3O)OCC3(CO)O)C(O)C2O)O
6754,C(=C3c(c4)ccc(OC(O5)C(C(O)(C5)CO)O)c4)Oc(c(C(=O)3)2)cc(cc2O)OC(C(O)1)OC(CO)C(O)C1O
6759,C(C1OCC(O2)C(O)C(C(O)C2Oc(c5)cc(O)c(c53)C(C(c(c4)ccc(c4)O)=CO3)=O)O)(C(CO)(CO1)O)O
6764,O(C(C5O)OCC(C5O)O)C(C4)C(O)C(O)C(O4)Oc(c1)ccc(C(C2)Oc(c3)c(c(OC)cc3OC)C2=O)c1
6769,O=C(c41)CC([H])(c(c5)cccc5)Oc(cc(cc4O)OC(C2OC(O3)C(C(O)C(O)C(C)3)O)OC(CO)C(C2O)O)1
6774,OC(C4O)C(O)C(OC4CO)OC(C1O)C(OC(Oc(c(C(C=Cc(c3)ccc(O)c3)=O)2)cc(O)cc2)C1O)C
6779,OC(C1O)C(O)C(COC(C(CC(O)=O)O)=O)OC1Oc(c4)c([o+1]c(c43)cc(cc3O)O)c(c2)cc(c(c2)O)O
6784,O=C(CC(O)=O)OC[C@H]([C@H](O)1)O[C@@H](Oc(c4)c([o+1]c(c34)cc(cc(O)3)O)c(c2)cc(O)c(c2OC)O)C(C(O)1)O
6789,c(O)(c1)ccc(c([o+1]3)c(OC(C(OC(C5O)OCC(C5O)O)4)OC(C(O)C4O)CO)cc(c32)c(cc(O)c2)O)c1
6794,c(O)(c1)ccc(c([o+1]3)c(OC(C(OC(C5O)OCC(C5O)O)4)OC(C(O)C4O)CO)cc(c32)c(cc(O)c2)O)c1
6799,c(OC(C5O)OCC(O)C5O)(c4)ccc(c4)C(=C3O)Oc(c(C3=O)2)c(c(O)cc2O)OC(O1)C(O)C(O)C(O)C1
6804,c(OC(C5O)OCC(O)C5O)(c4)ccc(c4)C(=C3O)Oc(c(C3=O)2)c(c(O)cc2O)OC(O1)C(O)C(O)C(O)C1
6809,C(=C2OC(C(OC(O5)C(O)C(O)C(O)C5)4)OC(CO)C4O)(c(c3)cc(c(c3)O)O)Oc(c1)c(C2=O)c(O)cc1O
6814,C(C(O)5)(C(OCC5O)OC(C2=O)=C(c(c4)cc(c(c4)O)O)Oc(c3)c2c(O)cc3O)OC(C(O)1)OCC1(O)CO
6819,C(C(O)5)(C(OCC5O)OC(C2=O)=C(c(c4)cc(c(c4)O)O)Oc(c3)c2c(O)cc3O)OC(C(O)1)OCC1(O)CO
6824,C(O1)C(C(C(C1c(c4O)c(O2)c(c(c4C(C(O)5)OCC(C5O)O)O)C(C=C(c(c3)cc(O)c(c3O)O)2)=O)O)O)O
6829,c(c1)(O)c(cc(C(O2)=CC(=O)c(c(O)3)c2cc(OC(O4)C(OC(O5)C(O)C(O)C(O)C5)C(O)C(O)C4)c(O)3)c1)O
6834,c(c1)(O)c(cc(C(O2)=CC(=O)c(c(O)3)c(cc(O)c3C(C5O)OC(C(C5O)O)OC(O4)C(O)C(O)C(O)C4)2)c1)O
6839,C(C62)C(c(c(O6)5)c(c(c(c5)OC(C(O)1)OC(COC(c(c4O)cc(cc4)c(c3)c(ccc23)O)=O)C(C(O)1)O)C)O)=O
6844,Oc(c(C)1)c(C6=O)c(O5)cc1OC(C(O)2)OC(COC(=O)c(c3)c(c(c(c(O)4)cc(C(C6)5)cc4)cc3)O)C(C(O)2)O
6849,C(C4c(c5)ccc(c5)O)C(=O)c(c(O4)3)c(O)cc(c3)OC(C1O)OC(COC(O2)C(O)C(C(O)C2)O)C(O)C1O
6854,C(c12)(=O)CC(c(c5)cc(c(c5)O)O)Oc(cc(OC(C(O)3)OCC(OC(C4O)OCC(C4O)O)C3O)cc(OC)2)1
6859,c(c3)(ccc(OC(C(O)4)OC(C(OC(C(O)5)OCC(O)C5O)C4O)CO)c3)C(C2)Oc(c1C2=O)cc(cc1O)O
6864,c(O)(c14)c(c(OC)cc(OC(=C(OC)C(=O)4)c(c2)c(cc(c(O[C@H](O3)C(C([C@@H](O)[C@@H](CO)3)O)O)2)OC)OC)1)OC
6869,C(OC)(=C2c(c(O[C@H](O4)[C@@H](O)[C@H]([C@@H](O)C4CO)O)3)cc(OC)c(OC)c3)C(=O)c(c(O)1)c(O2)cc(OC)c1OC
6874,C(OC(C4O)C(CO)OC(C(O)4)Oc(c2)cc(O)c(C(=O)C=Cc(c3)ccc(c3O)O)c2)(C(O)1)OCC(O)C1O
6879,O=C(CC(O)=O)OCC(C(O)4)OC(C(C(O)4)O)Oc(c2c(c3)cc(c(c(O)3)O)O)cc(c1[o+1]2)c(c(O)c(c1)O)O
6884,c(c5O)(ccc(c5)C(O1)=CC(=O)c(c2O)c1cc(c2[C@@H]([C@H]3OC(c(c4)ccc(c4)O)=O)OC([C@H](O)[C@@H]3O)CO)O)O
6889,c(c5O)(ccc(c5)C(O1)=CC(=O)c(c(O)2)c(cc(O)c2C(C4O)OC(C(C(O)4)O)COC(c(c3)ccc(O)c3)=O)1)O
6894,c(c1)(C(O5)=CC(=O)c(c25)c(O)cc(c(C(C(OC(c(c4)ccc(c4)O)=O)3)OC(CO)C(O)C3O)2)O)cc(O)c(c1)O
6899,c(OC)(c4O)c(O)c(OC)c(c34)OC(=C(OC)C3=O)c(c1)cc(c(c1O[C@@H](C2O)O[C@@H]([C@H](O)C2O)CO)OC)O
6904,C(OC)(=C(c(c5OC)cc(O)cc5)1)C(=O)c(c(OC)4)c(c(c(c4)3)O[C@H]([C@H](CO)O3)c(c2)c(c(OC)c(c2)O)OC)O1
6909,Oc(c(O)1)ccc(C=CC(OC(C2O)C(Oc(c35)cc(O)cc3OC(CC5)c(c4)cc(c(O)c4)O)OCC2O)=O)c1
6914,O(C(C(O)2)C(OC(C(=O)3)=C(c(c5)ccc(c5)O)Oc(c4)c3c(O)cc(O)4)OCC2O)C(c(c1)cc(O)c(O)c(O)1)=O
6919,c(c(C(=C6)CC(C7)c(c5)c(OC6(C)7)cc(c5)O)1)(O)cc(O2)c(C(C(O3)(C2(O)c(c4)c3cc(c4)O)CC=C(C)C)=O)c1O
6924,C(C)(=CCc(c56)c(c(c(c(C=CC(C)(C)O6)5)O)4)OC(=C(C4=O)3)c(c21)c(O)cc(O)c1OC(C2C3)(C)C)CCC=C(C)C
6929,O(c(c(O)4)cc(cc4)C(O1)=C(OC(C(O)3)OC(C(O)C3O)C(O)=O)C(=O)c(c2O)c(cc(c2)OS(O)(=O)=O)1)C
6934,C(O)C(O1)[C@@H]([C@H](O)[C@H](O)[C@@H]1OCC(C(O6)Cc(c65)c(c2cc5)OC(C3)C(c(c4)c(cc(OC)c4OC)O3)C2=O)=C)O
6939,C(C(C(O)=O)4)(O)C(C(C(O4)Oc(c(O)3)c(c(c(c3)O)2)OC(=C(OS(O)(=O)=O)C2=O)c(c1)cc(c(O)c1)O)O)O
6944,O(C(C)=O)CC([C@@H]1OC(C)=O)O[C@@H](Oc(c4)c(O)c(c(c4)2)oc(=Cc(c3)cc(c(O)c3)O)c2=O)[C@H]([C@@H](O)1)OC(C)=O
6949,c(O)(c13)c(OC)c(OS(O)(=O)=O)cc1OC(=C(OC(O4)C(O)C(C(C(CO)4)O)O)C3=O)c(c2)cc(c(O)c2)O
6954,c(c23)cc(c(O)c2oc(=Cc(c4)cc(c(O)c4)O)c3=O)OC(O1)C(O)C(C(C1COC(C)=O)OC(C)=O)OC(C)=O
6959,C(c(c5)c(O)ccc(Cc(c6)c(O)ccc6)5)c(c(O)3)c(c(Cc(c4)c(ccc4)O)c(c13)OC(c(c2)cccc2)CC1=O)O
6964,C(C3)(c(c6)cccc6)Oc(c(Cc(c4)c(ccc(Cc(c5)c(ccc5)O)4)O)1)c(C3=O)c(c(Cc(c2)c(O)ccc2)c(O)1)O
6969,O[C@H]([C@@H]1O)C(O[C@@H](OC(C(O6)Cc(c56)c(c4cc5)OC(C2)C(C(=O)4)c(c3)c(cc(OC)c3OC)O2)(C)C)[C@H]1O)CO
6974,COC(C(=O)2)=C(Oc(c3)c2c(O)c(OC)c(OS(O)(=O)=O)3)c(c1)cc(O)c(O)c1
6979,COc(c3)c(OC)c(O)c(c32)C(=O)C(OS(O)(=O)=O)=C(O2)c(c1)cc(O)c(O)c1
6984,COc(c(O)3)cc(cc3)C(O1)=C(OS(O)(=O)=O)C(=O)c(c(O)2)c(cc(O)c(OC)2)1
6989,c(c1)(O)cc(O3)c(CC(C(c(c4)cc(O)c(O)c(O)4)3)OC(=O)c(c2)ccc(c2)O)c(O)1
6994,C(c(c4)cc(c(c(OC)4)O)OC)(O1)=CC(=O)c(c(O)3)c(c(OC)c(c32)OC(C=C2)(C)C)1
6999,O=C(c34)C(=C(Oc3c(OC)c(cc(O)4)OCC=C(C)C)c(c2)ccc(c21)OCO1)OC
7004,C(c21)(=O)C(c54)C(C(O)Oc(cc(c(c5)OC)OC)4)Oc(c(C3)c(OC(C(C)=C)3)cc(O)2)1
7009,C(O1)C(O5)C(O)(C(=O)c(c53)ccc(O4)c(CC4C(CO)=C)3)c(c2)c1cc(c2OC)OC
7014,c(c(O)2)c(c1c(O5)c(C(C(C45)(c(c3)c(OC4)cc(c3OC)OC)O)=O)2)OC(C(C)=C)C1
7019,c(c54)c(O)c(c3c4C=CC(O5)(C)C)C(C(C2O3)(c(c1)c(OC2)cc(c1OC)OC)O)=O
