,SMILES
139,Oc(c3)c(C(=O)2)c(cc3)OC(=C2)c(c1)cccc1
144,OC(=O)c(c1)c(ccc1)NCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O
147,COc(c2)ccc(c2)C(=O)C=Cc(c1)cccc1
152,Oc(c3)cc(O1)c(c3)C(=O)CC1c(c2)cccc2
157,Oc(c3)c(ccc3)C(=C1)Oc(c2)c(ccc2)C(=O)1
162,Oc(c2)ccc(c2)C=CC(=O)c(c1)ccc(O)c1
167,Oc(c2)cc(cc2)C=CC(=O)c(c1)cc(O)cc1
172,Oc(c2)c(ccc2)C=CC(=O)c(c1)c(O)ccc1
177,Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cccc1
182,Oc(c2)c(ccc2)C(=O)C=C(O)c(c1)cccc1
187,Oc(c3)cc(O)c(c3)c(c1)oc(c2)c(ccc(O)2)1
192,Cc(c1)c(C)cc(n2)c1nc(C(=O)3)c(NC(=O)N3)2
195,Oc(c2)cc(O)c(c2)C(=O)CCc(c1)cccc1
200,Oc(c3)ccc(c3)C(C2)Cc(c1)c(O2)cc(O)c1
205,Oc(c3)ccc(c3)C(C1)Oc(c2)c(ccc(O)2)C1
210,Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C1
215,COc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)cccc2
220,COc(c3)cc(C(=O)2)c(c3)OC(=C2)c(c1)cccc1
225,Oc(c3)cc(O2)c(c3)C(=O)C(=C(C)2)c(c1)cccc1
230,Oc(c3)cc(O2)c(c(O)3)C(=CC(=O)2)c(c1)cccc1
235,Oc(c3)ccc(c3)C=c(o1)c(=O)c(c2)c(cc(O)c2)1
240,O=C(O1)C=C(c(c3)cccc3)c(c2)c1cc(O)c(O)2
245,Oc(c3)cc(O1)c(c3)C(=O)C(O)=C1c(c2)cccc2
250,Oc(c4)cc(O3)c(c4)c(o1)c(C3)c(c2)c(cc(O)c2)1
255,Oc(c3)ccc(c3)C(=C1)Oc(c2)c(ccc(O)2)C(=O)1
260,Oc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)cccc2
265,Oc(c3)c(ccc3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1
270,Oc(c3)cc(c(O)c3)C(=C1)Oc(c2)c(ccc2)C(=O)1
275,Oc(c3)c(O1)c(c(O)c3)C(=O)C=C1c(c2)cccc2
280,Oc(c3)ccc(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1
285,Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)c(O)cc1
290,Oc(c3)c(ccc3)C(=C1)Oc(c(O)2)c(ccc2)C(=O)1
295,Oc(c3)cc(O2)c(c(O)3)C(=O)C(=C2)c(c1)cccc1
300,COc(c3)cc(O1)c(c3)C(=O)CC1c(c2)cccc2
305,COc(c1)c(O)cc(c(C)2)c1oc(c(c3)cccc3)2
310,COc(c3)c(O)cc(c23)C(=CCO2)c(c1)cccc1
315,COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)cccc1
320,COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)cccc1
325,COc(c2)c(ccc(O)2)C(=O)C=Cc(c1)cccc1
330,Oc(c3)ccc(c3)c(c2)[o+1]c(c1)c(c2)c(O)cc(O)1
335,Oc(c3)cc(O1)c(c(O)3)C(=O)CC([H])1c(c2)cccc2
340,Clc(c3)ccc(c3)C=c(o1)c(=O)c(c2)c(ccc2)1
345,COc(c3)c(ccc(O)3)c(c1)oc(c2)c(ccc(O)2)1
350,Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C(=O)1
355,Oc(c3)ccc(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1
360,COc(c3)cc(O)c(c3)c(c1)oc(c2)c(ccc(O)2)1
365,Oc(c3)cc(O1)c(c3)C(=O)C(O)C1c(c2)cccc2
370,Oc(c3)cc(O)c(c3)C(C2)=Cc(c1)c(O2)cc(O)c1
375,Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)ccc(O)1
380,Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)cc(O)c1
385,Oc(c2)c(O)cc(c2)C=CC(=O)c(c1)c(O)ccc1
390,COC(=C1)C(=O)C(=C(O)C=Cc(c2)cccc2)C(=O)1
395,Oc(c4)cc(O3)c(c4)C(O1)C(C3)c(c2)c(cc(O)c2)1
400,Oc(c1)cc(O)c(C(=O)C=Cc(c2)cccc2)c(O)1
405,COc(c2)cc(O)c(c2)C(=O)CCc(c1)cccc1
410,COc(c2)c(ccc(O)2)CCC(=O)c(c1)cccc1
415,COc(c2)c(O)cc(c(O)2)C(C=C)c(c1)cccc1
420,COc(c2)c(ccc(O)2)C(=O)CCc(c1)cccc1
425,COc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C1
430,COc(c3)c(C2)c(cc(O)3)OC(C2)c(c1)cccc1
435,Oc(c3)ccc(c3)C([H])(C1)Oc(c(C)2)c(ccc(O)2)C1
440,COc(c3)cc(O1)c(c3)CC[C@H]1c(c2)ccc(O)c2
445,Oc(c2)ccc(c2)C(=O)CCc(c1)c(O)cc(O)c1
450,Oc(c2)ccc(c2)CCC(=O)c(c1)c(O)cc(O)c1
455,Oc(c1)cc(O)c(C(=O)CCc(c2)cccc2)c(O)1
460,Oc(c1)cc(O2)c(CC(O)C2c(c3)cccc3)c(O)1
465,Oc(c3)ccc(c3)C(O1)C(O)Cc(c2)c(cc(O)c2)1
470,Oc(c3)cc(O)c(c3)C(C2)Cc(c1)c(O2)cc(O)c1
475,Oc(c3)ccc(c3)C(C2)Oc(c1)c(C2)c(O)cc(O)1
480,c(c4)ccc(c4)C=c(o1)c(=O)c(c2)c1c(c3)c(oc3)c2
485,O=C(C=Cc(c3)cccc3)c(c1)c(O)c(c2)c(oc2)c1
490,COc(c(O)3)cc(c2c3)C(=CC(=O)O2)c(c1)cccc1
495,COc(c3)cc(O1)c(c3)C(=O)C(c(c2)cccc2)=C(C)1
500,Oc(c4)cc(O3)c(c4)c(o1)c(C(=O)3)c(c2)c(cc(O)c2)1
505,COc(c3)c(O)cc(c23)C(=CC(=O)O2)c(c1)cccc1
510,COc(c3)ccc(c3)C(O1)=C(O)C(=O)c(c2)c(ccc2)1
515,COc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)cccc2
520,COc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)ccc(O)c2
525,COc(c1)c(O)cc(O2)c1C(=O)C=C2c(c3)cccc3
530,COc(c3)c(O)c(C(=O)2)c(c3)OC(=C2)c(c1)cccc1
535,Oc(c1)c(C)c(O)c(C(=O)3)c1OC(=C3)c(c2)cccc2
540,COc(c3)ccc(c3)C(=C1)Oc(c2)c(cc(O)c2)C(=O)1
545,COc(c3)c(ccc3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1
550,COc(c3)cc(O2)c(c3)C(=O)C(=C2)c(c1)ccc(O)c1
555,COc(c3)ccc(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1
560,COc(c3)cc(O2)c(c(O)3)C(=O)C(=C2)c(c1)cccc1
565,COc(c3)ccc(c3)C(=C1)C(=O)c(c(O)2)c(ccc2)O1
570,Oc(c4)cc(O)c(c4)c(c1)oc(c2)c(cc(O3)c(OC3)2)1
575,Oc(c3)cc(O1)c(c(O)3)C(=O)C(O)=C1c(c2)cccc2
580,Oc(c3)ccc(c3)C=c(o1)c(=O)c(c(O)2)c(cc(O)c2)1
585,Oc(c3)ccc(c3)C(O1)=C(O)C(=O)c(c2)c(cc(O)c2)1
590,Oc(c3)cc(o1)c(c3)c(=O)c(=Cc(c2)cc(O)c(O)c2)1
595,Oc(c3)c(ccc3)C(=C1)Oc(c(O)2)c(c(O)cc2)C(=O)1
600,Oc(c3)ccc(c3)C(=C1)Oc(c2)c(c(O)cc(O)2)C(=O)1
605,Oc(c3)c(O)c(O1)c(c(O)3)C(=O)C=C(c(c2)cccc2)1
610,Oc(c1)c(O)c(O)c(C(=O)3)c1OC(=C3)c(c2)cccc2
615,Oc(c3)cc(c(O)c3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1
620,Oc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)cc(O)c(O)c2
625,Oc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)c(O)ccc2
630,Oc(c3)cc(O2)c(c3)C(=O)C(=C2)c(c1)cc(O)c(O)c1
635,Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)c(O)c(O)c1
640,Oc(c3)ccc(c3)C(=C2)C(=O)c(c(O)1)c(O2)cc(O)c1
645,Oc(c3)cc(O)c(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1
650,Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)cc(O)c(O)1
655,Oc(c3)cc(cc3)C(=C2)C(=O)c(c(O)1)c(O2)cc(O)c1
660,COc(c3)c(C(=O)2)c(cc(O)3)OC(C2)c(c1)cccc1
665,COc(c(O)3)c(O1)c(cc3)C(=O)CC(c(c2)cccc2)1
670,COc(c3)ccc(c3)C(C1)Oc(c2)c(ccc(O)2)C(=O)1
675,Oc(c1)c(C)c(O)c(C(=O)3)c1OC([H])(C3)c(c2)cccc2
680,COc(c3)cc(O1)c(c3)C(=O)CC1c(c2)ccc(O)c2
685,Oc(c3)c(C)c(O1)c(c(O)3)C(=O)CC(c(c2)cccc2)1
690,COc(c3)cc(O1)c(c(O)3)C(=O)CC1c(c2)cccc2
695,COc(c3)cc(o1)c(c3)cc1c(c2)c(OC)cc(O)c2
700,COc(c3)ccc(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1
705,COc(c3)c(ccc(O)3)C(C1)=Cc(c2)c(cc(O)c2)O1
710,COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)ccc(O)c1
715,COc(c2)ccc(c2)C=CC(=O)c(c1)c(O)cc(O)c1
720,COc(c2)c(ccc(O)2)C=CC(=O)c(c1)ccc(O)c1
725,COC(=C1)C(=O)C(=C(OC)C=Cc(c2)cccc2)C(=O)1
730,COc(c1)c(O)cc(O)c1C(=O)C=Cc(c2)cccc2
735,COc(c1)c(C(=O)C=Cc(c2)cccc2)c(O)cc(O)1
740,COc(c2)ccc(c2)C=CC(=O)c(c1)c(O)ccc(O)1
745,COc(c(O)2)c(O)c(cc2)C(=O)C=Cc(c1)cccc1
750,COc(c1)cc(O)c(C(=O)C=Cc(c2)cccc2)c(O)1
755,COc(c2)cc(O)c(c2)C(=O)C=Cc(c1)ccc(O)c1
760,COc(c4)cc(O3)c(c4)C(O1)C(C3)c(c2)c(cc(O)c2)1
765,COc(c2)c(ccc(O)2)C(=O)C=Cc(c1)ccc(O)c1
770,COc(c4)cc(O1)c(c4)C([H])(C2)C([H])1c(c3)c(cc(O)c3)O2
775,Oc(c4)cc(O1)c(c4)CCC1c(c2)cc(O3)c(OC3)c2
780,COc(c2)c(O)cc(c(OC)2)[C@]([H])(C=C)c(c1)cccc1
785,c(c2)ccc(c2)CCC(=O)C(=C(C)1)C(=O)C(C)(C)C(=O)1
790,COc(c(C)3)c(C2)c(cc(O)3)OC(C2)c(c1)cccc1
795,COc(c3)c(C)c(O1)c(c3)CC[C@H]1c(c2)ccc(O)c2
800,COc(c1)cc(O2)c(CC[C@H]2c(c3)cccc3)c(OC)1
805,Oc(c3)ccc(c3)c([o+1]1)c(O)cc(c(O)2)c(cc(O)c2)1
810,Oc(c1)cc([o+1]2)c(ccc2c(c3)cc(O)c(O)c3)c(O)1
815,Oc(c3)cc(O1)c(c3)C(=O)CC([H])1c(c2)cc(O)c(O)c2
820,Oc(c3)ccc(c3)C(C1)Oc(c(O)2)c(ccc(O)2)C(=O)1
825,Oc(c3)c(O)c(O1)c(c(O)3)C(=O)CC(c(c2)cccc2)1
830,Oc(c3)ccc(c3)C(C1)Oc(c(O)2)c(c(O)cc2)C(=O)1
835,Oc(c3)cc(O1)c(c(O)3)C(=O)CC1c(c2)c(O)ccc2
840,Oc(c1)c(O)c(O)c(C(=O)3)c1OC(C3)c(c2)cccc2
845,Oc(c3)cc(O1)c(c(O)3)C(=O)CC(O)1c(c2)cccc2
850,Oc(c3)cc(cc3)C(C1)Oc(c2)c(c(O)cc(O)2)C(=O)1
855,Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(c(O)cc(O)2)C(=O)1
860,Oc(c3)cc(O)c(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1
865,Oc(c3)ccc(c3)C([H])(O1)C([H])(O)C(=O)c(c2)c(cc(O)c2)1
870,Oc(c3)cc(O1)c(c(O)3)C(=O)C([H])(O)C([H])1c(c2)cccc2
875,Oc(c2)cc(O)c(c2)C=CC(=O)c(c1)c(O)cc(O)c1
880,Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cc(O)cc(O)1
885,Oc(c2)ccc(c2)C=CC(=O)c(c(O)1)c(O)cc(O)c1
890,Oc(c2)cc(O)c(c2)C(=O)C=Cc(c1)cc(O)c(O)c1
895,Oc(c2)ccc(c2)C(=O)CC(=O)c(c1)c(O)cc(O)c1
900,Oc(c2)ccc(c2)C=CC(=O)c(c1)c(O)c(O)c(O)c1
905,Oc(c4)cc(O1)c(c4)C(C3)C1c(c2)c(O3)c(O)c(O)c2
910,Oc(c4)cc(O3)c(c4)C([H])(O1)C(O)(C3)c(c2)c(cc(O)c2)1
915,COc(c2)ccc(c2)C(C)C(=O)c(c1)c(O)cc(O)c1
920,COc(c2)cc(O)c(c2)C(=O)CCc(c1)ccc(O)c1
925,Oc(c1)c(C)c(O)c(C(=O)CCc(c2)cccc2)c(O)1
930,COc(c2)c(ccc(O)2)CCC(=O)c(c1)ccc(O)c1
935,COc(c1)cc(O)c(CCC(=O)c(c2)ccc(O)c2)c1
940,COc(c1)c(C(=O)CCc(c2)cccc2)c(O)cc(O)1
945,COc(c3)cc(O1)c(c3)CC(O)C1c(c2)ccc(O)c2
950,COc(c3)cc(O)c(c3)[C@@]([H])(C1)Cc(c2)c(cc(O)c2)O1
955,COc(c1)cc(O)c(C(=O)CCc(c2)cccc2)c(O)1
960,COc(c3)cc(O2)c(c3)CC(C2)c(c1)c(O)cc(O)c1
965,COc(c3)c(ccc(O)3)C(C1)Cc(c2)c(cc(O)c2)O1
970,COc(c(O)3)cc(cc3)[C@H](C1)Oc(c2)c(ccc(O)2)C1
975,COc(c3)cc(O1)c(c3)CC[C@H]1c(c2)cc(O)c(O)c2
980,COc(c3)c(O)cc(c3)C(C1)Oc(c2)c(ccc(O)2)C1
985,COc(c3)ccc(c3)C(C2)Oc(c1)c(C2)c(O)cc(O)1
990,Clc(c3)ccc(c3)CC(O)(O1)C(=O)c(c2)c(ccc2)1
995,Oc(c3)ccc(c3)C(C1)Oc(c2)c(c(O)cc(O)2)C(O)1
1000,Oc(c2)ccc(c2)CC(O)C(=O)c(c1)c(O)cc(O)c1
1005,Oc(c3)ccc(c3)C(O1)C(O)Cc(c(O)2)c(cc(O)c2)1
1010,Oc(c2)ccc(c2)CCC(=O)c(c(O)1)c(O)cc(O)c1
1015,Oc(c3)cc(O1)c(c3)CC(O)C1c(c2)cc(O)c(O)c2
1020,Oc(c3)cc(O1)c(c3)CC(O)C1c(c2)cc(O)c(O)c2
1025,Oc(c3)ccc(c3)C(O1)C(O)Cc(c(O)2)c(cc(O)c2)1
1030,Oc(c3)cc(O1)c(c3)CC(O)C1c(c2)cc(O)c(O)c2
1035,Oc(c3)ccc(c3)C([H])(O1)C([H])(O)Cc(c(O)2)c(cc(O)c2)1
1040,Oc(c3)ccc(c3)C(O1)C(O)C(O)c(c2)c(cc(O)c2)1
1045,Oc(c3)ccc(c3)C(O1)C(O)C(O)c(c2)c(cc(O)c2)1
1050,Oc(c3)ccc(c3)C(O1)C(O)C(O)c(c2)c(cc(O)c2)1
1055,c(c3OC)(O)cc(O1)c(c3O)C(C([C@H]1c(c2)cc(O)c(O)c2)OC(C)=O)=O
1060,c(OC)(c(O)1)c(O)cc(C(O2)=C(C(c(c(O)3)c2c(c(OC)c3)O)=O)OC)c1
1065,c(c(OC)1)(c(OC)cc(C(O2)=C(C(c(c3O)c2cc(c3O)O)=O)OC)c1)O
1070,c(c3OC)(O)cc(O1)c(c3O)C(C(=C1c(c(OC)2)cc(O)c(O)c2)OC)=O
1075,c(OC)(c(O)1)c(O)cc(C(O2)=C(C(c(c(O)3)c2c(c(O)c3)OC)=O)OC)c1
1080,O(C(c(c4)cc(OC)cc(O)4)3)c(c2OC)c(C(C3O)=O)c(c(c21)OCO1)O
1085,c(c1O)(O)c(OC)ccc1C(O2)=C(C(c(c3O)c2cc(c3O)OC)=O)OC
1090,c(c3OC)(O)cc(O1)c(c3O)C(C(=C1c(c(O)2)cc(O)c(OC)c2)OC)=O
1095,O(C(c(c3)cc(O)c(O)c3)=1)c(c2OC)c(c(c(c2OC)O)O)C(C1OC)=O
